FID,FID_buffer,ROBIN_ID,LOCAL_ID,NAME,LATITUDE,LONGITUDE,AREA,AREA_SOURC,DATA_OWNER,COUNTRY,FREE_TEXT,DATA_PERMI,QUALITY,HYDROBELT,KOPPEN,BUFF_DIST,ORIG_FID,FID_CAMELS,gauge_id,gauge_name
65,159,DE00262,392,Glems at Talhausen,48.917286900000001,9.064943301000000,192.340000000000003,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,15,500.000000000000000,159,134,DE111580,Talhausen
66,169,DE00272,410,Ršhlinger Sechta at Dalkingen,48.922871010000001,10.169076520000001,88.250000000000000,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,169,178,DE112110,Dalkingen
67,152,DE00255,384,Alb at Ettlingen,48.947242559999999,8.395850039000001,149.360000000000014,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,15,500.000000000000000,152,119,DE111400,Ettlingen
68,158,DE00261,391,Bottwar at Steinheim,48.970172159999997,9.283111968000000,76.409999999999997,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,15,500.000000000000000,158,131,DE111550,Steinheim
69,149,DE00252,381,Fichtenberger Rot at Mittelrot,48.984318950000002,9.743543173999999,125.769999999999996,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,149,109,DE111300,Mittelrot
70,199,DE00095,128,Teisnach at Teisnach_Teisnach,49.037620799999999,12.995990839999999,108.000000000000000,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,199,274,DE211620,Teisnach_Teisnach
71,170,DE00273,411,Bibers at Westheim,49.053989489999999,9.727721643000001,63.170000000000002,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,170,179,DE112120,Westheim
72,294,DE00063,83,Otterbach at Heuweg,49.063334990000001,12.276761860000001,48.399999999999999,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,294,276,DE211720,Heuweg
73,168,DE00271,408,Schozach at Talheim,49.082817079999998,9.196277615000000,73.560000000000002,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,15,500.000000000000000,168,170,DE112010,Talheim
74,143,DE00246,374,Speltach at Unterspeltach,49.091643920000003,10.026326310000000,33.340000000000003,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,143,89,DE111060,Unterspeltach
75,172,DE00275,414,Saalbach at Bruchsal (US),49.121879790000001,8.605934783000000,174.900000000000006,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,15,500.000000000000000,172,193,DE112370,Bruchsal
76,87,DE00217,337,Klingbach at Herxheim,49.139904930000000,8.198040043000001,101.659999999999997,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,15,500.000000000000000,87,1192,DEB10810,Herxheim
77,211,DE00107,152,Wieseth at Bechhofen,49.155902660000002,10.547869150000000,93.400000000000006,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,211,254,DE211100,Bechhofen
78,317,DE00086,114,Schwarze Laber at Parsberg,49.171875440000001,11.728339940000000,187.000000000000000,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,317,258,DE211150,Parsberg
79,216,DE00112,157,Wšrnitz at Reichenbach,49.176346330000001,10.257411429999999,87.599999999999994,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,216,219,DE210510,Reichenbach
80,31,DE00161,243,Saarbach at Saarbrücken-Fechingen,49.203504760000001,7.057367582000000,48.700000000000003,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,15,500.000000000000000,31,1227,DEC10120,Fechingen
81,161,DE00264,394,Brettach at Neuenstadt,49.231127880000003,9.344511096000000,141.310000000000002,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,15,500.000000000000000,161,144,DE111680,Neuenstadt
82,32,DE00162,244,Würzbach at Lautzkirch,49.250315890000003,7.254938487000000,56.100000000000001,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,15,500.000000000000000,32,1231,DEC10160,Lautzkirchen
83,28,DE00158,240,Köllerbach at Völklingen,49.257621450000002,6.872169935000000,77.599999999999994,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,15,500.000000000000000,28,1234,DEC10230,Völklingen
84,141,DE00244,372,Kupfer at Forchtenberg,49.284404440000003,9.566078374000000,71.950000000000003,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,141,86,DE111020,Forchtenberg
85,252,DE00021,28,FrŠnkische Rezat at Ansbach_FrŠnkische Rezat,49.305698870000001,10.566959779999999,119.099999999999994,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,252,408,DE214280,Ansbach_Fränkische Rezat
86,198,DE00094,127,Tauber at Bockenfeld,49.326565270000003,10.191495800000000,74.099999999999994,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,198,482,DE215090,Bockenfeld
87,316,DE00085,113,Schwarzach at Rasch,49.368978179999999,11.379173529999999,185.400000000000006,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,316,416,DE214370,Rasch
88,34,DE00164,247,Ill at Eppelborn,49.407977639999999,6.962414551000000,120.000000000000000,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,15,500.000000000000000,34,1245,DEC10390,Eppelborn
89,288,DE00057,75,Murach at Fronhof,49.411089019999999,12.309504600000000,122.000000000000000,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,288,267,DE211450,Fronhof
90,35,DE00165,248,Losheimer Bach at Wadern-Nunkirchen,49.488070129999997,6.839537414000000,104.450000000000003,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,15,500.000000000000000,35,1236,DEC10280,Nunkirchen
91,303,DE00072,94,Rosenbach at Obersdorf,49.493917109999998,11.800083860000001,68.799999999999997,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,303,271,DE211500,Obersdorf
92,265,DE00034,46,Hšgenbach at Pommelsbrunn,49.499534019999999,11.525611450000000,102.299999999999997,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,265,426,DE214480,Pommelsbrunn
93,93,DE00224,346,Umpfer at Sachsenflur,49.524982790000003,9.707556700000000,109.989999999999995,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,93,15,DE110180,Sachsenflur
94,37,DE00167,250,Löster at Wadern-Dagstuhl,49.531821520000001,6.902019300000000,61.799999999999997,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,15,500.000000000000000,37,1230,DEC10150,Dagstuhl
95,36,DE00166,249,Wadrill at Schieferstollen,49.597831260000000,6.878765825000000,44.200000000000003,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,15,500.000000000000000,36,1223,DEC10000,Schieferstollen
96,92,DE00223,345,Brehmbach at Kšnigheim,49.616235869999997,9.622820425000000,53.930000000000000,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,92,14,DE110170,Königheim
97,61,DE00191,305,Weschnitz at Fahrenbach,49.641870619999999,8.769619275000000,45.100000000000001,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,15,500.000000000000000,61,597,DE710290,Fahrenbach
98,63,DE00193,308,Mümling at Michelstadt,49.677741099999999,8.998008348000001,134.599999999999994,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,15,500.000000000000000,63,633,DE710660,Michelstadt
