FID,FID_buffer,ROBIN_ID,LOCAL_ID,NAME,LATITUDE,LONGITUDE,AREA,AREA_SOURC,DATA_OWNER,COUNTRY,FREE_TEXT,DATA_PERMI,QUALITY,HYDROBELT,KOPPEN,BUFF_DIST,ORIG_FID,FID_CAMELS,gauge_id,gauge_name
157,227,DE00123,187,Lahn at Feudingen,50.939454280000000,8.326753289999999,25.399999999999999,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,227,978,DEA10000,Feudingen
158,235,DE00131,197,Ferndorfbach at Kreuztal,50.959336610000001,7.993580926000000,63.399999999999999,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,15,500.000000000000000,235,980,DEA10060,Kreuztal
159,72,DE00202,321,Wohra at Gemünden,50.968083940000000,8.974275114999999,101.900000000000006,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,15,500.000000000000000,72,602,DE710340,Gemünden
160,14,DE00144,213,Odeborn at Raumland,51.031265699999999,8.386906464000001,84.700000000000003,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,14,1088,DEA11790,Raumland
161,242,DE00138,206,Eder at Muesse,51.050531069999998,8.283156498000000,125.000000000000000,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,242,1087,DEA11770,Muesse
162,125,DE00335,501,Pließnitz at Tauchritz,51.063989309999997,14.949975470000000,163.000000000000000,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,125,1308,DED12520,Tauchritz
163,80,DE00210,330,Wehre at Bischhausen,51.137508210000000,9.939122781000000,149.199999999999989,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,80,582,DE710130,Bischhausen
164,123,DE00333,499,Weißer Schöps at Holtendorf,51.155085049999997,14.920349290000001,54.229999999999997,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,123,1268,DED10890,Holtendorf
165,11,DE00141,209,Lenne at Oberkirchen,51.158322630000001,8.374933866999999,37.549999999999997,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,11,1025,DEA10630,Oberkirchen
166,12,DE00142,211,Schwalm at Pannenmühle,51.198258410000001,6.227592826000000,130.189999999999998,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,15,500.000000000000000,12,1073,DEA11490,Pannenmühle
167,111,DE00321,478,Langes Wasser at Pietzschwitz,51.198741439999999,14.296587389999999,42.289999999999999,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,111,1292,DED11820,Pietzschwitz
168,20,DE00150,227,Biberbach at Thalwinkel,51.222667710000003,11.612302560000000,54.500000000000000,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,20,1333,DEE10270,Thalwinkel
169,226,DE00122,186,Düssel at Eigen,51.223502119999999,6.975909558000000,42.810000000000002,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,15,500.000000000000000,226,1002,DEA10320,Eigen
170,51,DE00181,291,Unstrut at Ammern,51.228668630000001,10.446633800000001,182.699999999999989,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,51,1531,DEG10000,Ammern
171,122,DE00332,498,Schwarzer Schöps at Jänkendorf 1,51.252201100000001,14.810843000000000,125.000000000000000,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,122,1270,DED10970,Jänkendorf 1
172,85,DE00215,335,Losse at Helsa,51.256620689999998,9.684897179000000,53.789999999999999,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,85,613,DE710450,Helsa
173,13,DE00143,212,Anger at Ratingen,51.303999320000003,6.811966799000000,63.229999999999997,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,15,500.000000000000000,13,1011,DEA10460,Ratingen
174,230,DE00126,191,Volme at Hagen_Ambrock,51.323419309999998,7.516956029000000,197.000000000000000,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,230,1033,DEA10730,Hagen_Ambrock
175,86,DE00216,336,Erpe at Ehringen,51.384133710000000,9.143836144000000,137.050000000000011,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,86,592,DE710240,Ehringen
176,194,DE00297,439,Dramme at Mariengarten,51.446525659999999,9.871958417000000,45.000000000000000,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,194,869,DE911260,Mariengarten
177,54,DE00184,296,Bode at Bleicherode,51.450725919999996,10.589695810000000,104.000000000000000,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,54,1534,DEG10050,Bleicherode
178,18,DE00148,220,Alme at Weine,51.540915679999998,8.526776668000000,143.319999999999993,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,15,500.000000000000000,18,1043,DEA10910,Weine
179,185,DE00288,429,Eller at Hilkerode,51.564827749999999,10.310395310000001,97.000000000000000,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,185,873,DE911310,Hilkerode
180,9,DE00307,451,Hahle at Rollshausen,51.571995549999997,10.221377929999999,184.000000000000000,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,9,875,DE911330,Rollshausen
181,55,DE00185,297,Bere at Ilfeld,51.597201419999998,10.786873920000000,62.299999999999997,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,55,1555,DEG10310,Ilfeld
182,21,DE00151,229,Schlenze at Friedeburg,51.614644960000000,11.734917859999999,109.500000000000000,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,21,1344,DEE10410,Friedeburg
183,107,DE00317,464,Zorge at Zorge,51.626448470000000,10.629114960000001,32.000000000000000,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,107,945,DE912230,Zorge
184,99,DE00309,453,Ahle at Steimke A,51.643303830000001,9.637405745000001,80.000000000000000,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,99,819,DE910620,Steimke A
185,184,DE00287,428,Sieber at Hattorf,51.652590449999998,10.256809909999999,129.000000000000000,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,184,877,DE911350,Hattorf
186,231,DE00127,193,Schmittwasser at Herbram,51.670108310000003,8.915752077000000,25.070000000000000,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,15,500.000000000000000,231,1047,DEA10950,Herbram
187,25,DE00155,235,Selke at Meisdorf,51.693185800000002,11.284675300000000,184.000000000000000,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,25,1367,DEE10680,Meisdorf
188,24,DE00154,233,Rappbode at Trautenstein,51.692894119999998,10.791787019999999,39.100000000000001,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,24,1363,DEE10630,Trautenstein
189,22,DE00152,231,Warme Bode at Tanne,51.702039329999998,10.732998510000000,71.500000000000000,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,22,1359,DEE10590,Tanne
190,15,DE00145,215,Aa at Rustenhof,51.707196570000001,9.133406401000000,77.060000000000002,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,15,1094,DEA11850,Rustenhof
191,23,DE00153,232,Kalte Bode at Elend,51.743679729999997,10.684081750000001,25.699999999999999,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,23,1361,DEE10610,Elend
192,222,DE00118,181,Beke at Altenbeken 2,51.760543130000002,8.918213224000000,20.500000000000000,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,15,500.000000000000000,222,1039,DEA10850,Altenbeken 2
193,26,DE00156,236,Holtemme at Hanneckenbruch,51.803825969999998,10.696611320000001,9.359999999999999,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,26,1370,DEE10710,Hanneckenbruch
194,5,DE00303,447,Ilme at Oldendorf,51.812857940000001,9.772319796000000,149.000000000000000,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,5,887,DE911450,Oldendorf
195,196,DE00299,441,Forstbach at Negenborn,51.890433190000003,9.555861725000000,39.000000000000000,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,196,824,DE910670,Negenborn
196,182,DE00285,426,Nette at Groß Rhüden,51.941982660000001,10.125399720000001,125.000000000000000,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,182,897,DE911580,Groß Rhüden
197,4,DE00302,446,Lenne at Oelkassen,51.944554640000000,9.611318344000001,65.000000000000000,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,4,825,DE910680,Oelkassen
198,1,DE00338,526,Plane at Rädigke,52.054505740000003,12.622919010000000,77.379999999999995,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,1,533,DE411310,"Rädigke, Venturi"
199,176,DE00279,418,Lamme at Bad Salzdetfurth,52.070117930000002,10.016746489999999,127.000000000000000,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,15,500.000000000000000,176,899,DE911610,Bad Salzdetfurth
200,195,DE00298,440,Saale at Mehle,52.104120719999997,9.702245708000000,136.000000000000000,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,15,500.000000000000000,195,892,DE911520,Mehle
201,16,DE00146,217,Steinfurter Aa at Temmingsmühle,52.106353870000000,7.353176982000000,115.799999999999997,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,15,500.000000000000000,16,1116,DEA12140,Temmingsmühle
202,103,DE00313,460,Altenau at Wendessen,52.149971890000003,10.592398940000001,118.000000000000000,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,15,500.000000000000000,103,849,DE911000,Wendessen
203,229,DE00125,190,Dinkel at Gronau,52.218101509999997,7.027296813000000,183.169999999999987,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,15,500.000000000000000,229,1120,DEA12180,Gronau
204,225,DE00121,184,Vechte at Bilk,52.239045160000003,7.293656814000000,177.939999999999998,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,15,500.000000000000000,225,1115,DEA12130,Bilk
205,8,DE00306,450,Rodenberger Aue at Rodenberg,52.319391490000001,9.358699014000001,154.000000000000000,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,15,500.000000000000000,8,905,DE911680,Rodenberg
206,175,DE00278,417,Südradde at Augustenfeld,52.773338539999997,7.737763319000000,82.000000000000000,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,15,500.000000000000000,175,804,DE910330,Augustenfeld
207,100,DE00310,454,Hardau at Suderburg,52.903178220000001,10.469212519999999,63.000000000000000,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,15,500.000000000000000,100,952,DE912310,Suderburg
208,105,DE00315,462,Visbeker Aue at Wiekau,52.919665340000002,8.378250468999999,95.000000000000000,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,15,500.000000000000000,105,935,DE912120,Wiekau
209,186,DE00289,430,Delme at Holzkamp,53.003491820000001,8.574397079000001,103.000000000000000,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,15,500.000000000000000,186,917,DE911880,Holzkamp
210,47,DE00177,285,Linau at Witzeeze,53.453633089999997,10.599933900000000,105.700000000000003,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,15,500.000000000000000,47,1527,DEF14990,Witzeeze
211,218,DE00114,165,Nebel at Ahrenshagen,53.690541179999997,12.322158430000000,186.680000000000007,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,218,695,DE810470,Ahrenshagen
212,41,DE00171,256,Bünningstedter Au at Bünningstedt,53.695810960000003,10.216450630000001,64.000000000000000,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,15,500.000000000000000,41,1426,DEF10710,Bünningstedt
213,219,DE00115,167,Lößnitz at Klueß,53.778144650000002,12.248231460000000,186.319999999999993,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,26,500.000000000000000,219,698,DE810570,Klueß
214,39,DE00169,252,Schmalfelder Au at Bad Bramstedt/Schmalfelder Au,53.903749759999997,9.883604037000000,176.129999999999995,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,15,500.000000000000000,39,1413,DEF10220,BadBramstedtOhlau
215,43,DE00173,274,Bünzau at Sarlhusen,54.034190709999997,9.816865544000001,207.000000000000000,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,15,500.000000000000000,43,1503,DEF13710,Sarlhusen
216,45,DE00175,280,Dosenbek at Tungendorf,54.086050890000003,10.019453690000001,29.399999999999999,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,15,500.000000000000000,45,1521,DEF14580,Tungendorf
217,44,DE00174,279,Haalerau at Todenbüttel,54.129199180000001,9.548042610000000,87.829999999999998,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,15,500.000000000000000,44,1518,DEF14440,Todenbüttel
218,46,DE00176,283,Gieselau at Wennbüttel,54.132683389999997,9.323955155000000,35.009999999999998,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,15,500.000000000000000,46,1524,DEF14840,Wennbüttel
219,42,DE00172,266,Treene at Mühlenbrück,54.708728020000002,9.525003242000000,74.799999999999997,MA,Federal Institute of Hydrology,GERMANY, ,Restricted,1,2,15,500.000000000000000,42,1479,DEF12940,Mühlenbrück
